CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,actual,predicted,predicted_probability_placed,correct
8.0,2,3,1,87,4.3,1,0,70,84,0,1,0.6362353322549479,False
8.0,0,1,1,67,4.1,1,1,62,61,1,0,0.1835229656736028,False
8.7,1,1,2,80,3.6,0,1,58,73,1,0,0.2596810076204175,False
8.4,2,3,2,85,4.7,1,1,75,88,0,1,0.8849574898908038,False
7.6,1,2,1,75,4.7,1,1,74,68,0,1,0.5217042639703557,False
8.4,1,3,1,75,4.8,1,1,79,68,0,1,0.7093051113941096,False
7.3,2,3,2,78,4.7,0,1,70,88,0,1,0.5517921121600157,False
8.2,0,3,1,90,3.8,1,1,76,77,0,1,0.8102965007014176,False
8.1,1,2,1,69,4.0,1,1,86,73,1,0,0.4592501513628151,False
8.3,1,3,0,82,4.7,1,1,83,82,0,1,0.8408791456960647,False
8.4,2,3,2,90,4.5,1,1,84,85,0,1,0.9201945981292382,False
7.8,1,2,0,71,3.7,1,1,82,64,1,0,0.31972204346183347,False
7.6,2,1,0,78,3.9,0,0,83,69,1,0,0.12105654989860426,False
8.4,1,3,0,81,4.7,0,1,55,87,0,1,0.5669785963643854,False
7.5,2,1,1,90,4.1,1,1,71,67,0,1,0.5880516419982424,False
8.0,2,3,2,83,4.5,1,0,79,81,0,1,0.657337269349389,False
7.6,0,3,2,85,3.7,1,1,80,83,0,1,0.7567045947466217,False
8.3,1,2,1,84,4.7,1,1,59,69,0,1,0.6589983299129218,False
6.8,2,3,2,90,4.3,1,1,81,79,0,1,0.8105956441918811,False
7.6,1,2,0,85,4.6,0,1,78,73,0,1,0.5371715205892142,False
8.8,2,2,0,83,4.4,1,1,68,84,0,1,0.7475501778023608,False
7.6,1,1,2,67,3.8,0,1,57,70,1,0,0.08173290309008614,False
8.5,2,1,1,70,4.3,1,1,58,63,1,0,0.2605013305270069,False
6.5,2,3,2,86,4.4,1,1,76,81,0,1,0.7351715388260593,False
7.0,1,1,1,74,4.4,1,1,78,71,1,0,0.37104159058296515,False
8.0,1,3,0,87,4.3,1,1,79,67,0,1,0.7647596657509347,False
8.6,1,2,1,73,4.7,1,1,76,66,0,1,0.5836534616311757,False
8.2,2,3,2,90,4.6,1,0,72,85,0,1,0.7734127025169274,False
7.8,0,2,2,82,4.8,1,1,77,68,0,1,0.720413422454133,False
7.6,1,1,0,76,3.9,0,1,57,68,1,0,0.12610739194937245,False
7.1,0,1,0,87,4.4,0,1,75,65,1,0,0.35905683501302493,False
7.9,1,2,1,86,4.8,0,1,70,60,0,1,0.5076106069589686,False
7.3,0,3,1,70,3.8,1,0,56,76,1,0,0.1391528072989614,False
7.6,1,3,0,87,4.4,1,1,80,88,0,1,0.8371288650193712,False
6.7,1,1,0,76,4.2,0,0,61,63,1,0,0.04717661742118122,False
7.8,2,3,0,89,4.6,0,1,71,68,0,1,0.6188838950916451,False
8.1,2,3,1,81,4.8,1,1,74,83,0,1,0.8083715152594073,False
7.0,1,2,1,77,4.3,1,1,69,61,1,0,0.36224202468825967,False
8.2,0,3,2,81,4.3,1,0,88,84,0,1,0.6922833296088755,False
7.4,1,2,2,77,3.7,1,1,79,88,0,1,0.5618884390484116,False
8.6,1,3,0,86,3.8,1,1,78,72,0,1,0.7544495739812703,False
7.7,1,1,2,86,4.2,1,1,58,80,0,1,0.575678369574929,False
7.4,1,2,2,82,4.3,1,1,77,72,0,1,0.6336234214938538,False
8.4,0,3,2,79,4.5,1,1,75,64,0,1,0.7130192859771752,False
7.8,1,2,1,70,4.3,1,1,59,71,1,0,0.3143128422442848,False
7.6,0,3,0,82,4.4,1,0,84,80,0,1,0.5765828362632806,False
7.0,0,1,0,69,4.4,1,1,71,72,1,0,0.24339459120664447,False
8.2,2,1,2,90,4.5,1,0,66,83,0,1,0.5916063476561764,False
6.7,1,3,1,78,4.1,1,1,55,82,1,0,0.4281758691965297,False
8.4,2,2,0,90,4.5,1,1,76,85,0,1,0.8513358320650244,False
7.1,0,1,0,69,4.2,0,1,57,71,1,0,0.08598512527593952,False
8.5,1,3,2,90,4.5,1,1,76,83,0,1,0.9041838145533633,False
7.4,1,2,1,90,4.4,1,1,81,86,0,1,0.8266103803419887,False
7.2,1,3,2,84,4.4,1,1,88,85,0,1,0.8304743840366972,False
8.0,2,1,2,89,4.2,0,1,68,82,0,1,0.5478526889301389,False
8.0,1,2,2,74,4.1,0,1,70,84,1,0,0.3624513147603674,False
8.4,1,3,2,84,4.8,1,1,81,84,0,1,0.8918441103332934,False
7.3,1,1,1,85,4.8,0,1,55,66,1,0,0.305898077146848,False
8.0,2,1,2,90,4.6,1,1,87,85,0,1,0.8635300213469899,False
6.6,1,2,1,82,4.4,1,1,74,82,0,1,0.5909602337427515,False
7.7,1,2,2,83,3.9,1,1,81,75,0,1,0.6606468466285733,False
7.7,1,3,0,76,4.5,1,0,69,64,1,0,0.29938446502609256,False
8.4,1,3,1,80,4.4,1,1,74,80,0,1,0.7641001389983778,False
7.7,1,2,0,88,4.1,1,1,55,64,0,1,0.5012593453322575,False
7.8,1,1,0,86,4.0,1,1,60,76,1,0,0.49334101227191013,False
6.8,0,1,0,84,4.1,1,1,62,86,1,0,0.4546058084774374,False
8.3,2,1,1,90,4.6,1,1,88,84,0,1,0.8661105388276472,False
7.4,0,3,0,83,3.5,0,1,68,84,1,0,0.3881918649509111,False
7.9,0,2,1,79,4.8,1,1,61,66,0,1,0.5481912621767577,False
6.9,2,3,1,77,4.3,1,1,55,81,1,0,0.44945452314302253,False
8.4,1,3,2,77,4.5,1,1,75,72,0,1,0.7193480791147767,False
8.2,2,3,0,77,3.5,1,1,75,80,0,1,0.5514790767929025,False
6.7,1,1,2,90,4.2,1,0,79,88,0,1,0.5187374391281954,False
7.5,0,2,0,70,3.5,1,1,80,76,1,0,0.3087052765393553,False
7.8,1,1,0,74,4.5,1,0,82,69,1,0,0.2545380853189852,False
7.7,1,2,0,80,3.5,1,1,79,84,0,1,0.5412722594048639,False
8.4,1,1,2,79,4.6,0,1,76,85,0,1,0.5433636151560695,False
6.6,1,1,0,72,4.1,1,0,58,64,1,0,0.062247256559783935,False
6.5,1,1,1,78,3.9,0,1,67,73,1,0,0.14980877934698594,False
7.9,1,3,0,81,4.5,1,1,66,74,0,1,0.6581828603740376,False
6.9,1,2,0,70,4.8,1,1,78,88,0,1,0.5030663903125723,False
8.3,2,2,2,90,4.7,1,0,73,81,0,1,0.7241122701251863,False
7.4,1,1,0,75,4.5,0,1,57,66,1,0,0.14726117780391557,False
7.6,1,1,0,77,3.7,0,1,55,67,1,0,0.11230876164120063,False
7.9,2,2,0,77,4.4,0,1,68,68,1,0,0.2968259605432251,False
7.5,0,3,3,78,4.7,1,1,68,65,0,1,0.6330932971269858,False
7.6,1,2,1,74,4.4,1,1,73,72,1,0,0.4738436375992739,False
8.2,1,2,2,77,4.2,0,1,72,72,1,0,0.3899109324189373,False
8.4,2,1,1,83,3.5,1,1,56,81,1,0,0.4418703963290578,False
8.2,1,2,0,87,4.2,1,1,81,80,0,1,0.7825636552716961,False
8.3,2,3,0,82,4.5,1,1,74,70,0,1,0.7265691272719356,False
8.2,1,3,2,90,4.4,1,0,74,80,0,1,0.7405773699427577,False
7.9,2,3,2,83,4.5,1,1,72,84,0,1,0.8001268052181413,False
7.6,1,2,2,76,4.8,1,1,68,85,0,1,0.6434500464352522,False
7.5,1,3,0,82,4.8,1,1,65,80,0,1,0.7080906198176495,False
7.9,0,1,0,78,4.4,1,1,77,73,0,1,0.5179149735512422,False
7.8,0,3,2,73,4.6,1,0,82,85,0,1,0.5296158752103259,False
8.5,2,1,3,82,3.6,1,1,67,81,0,1,0.5702008024723951,False
7.4,1,1,0,78,4.0,1,1,82,67,1,0,0.3961849007868838,False
6.5,0,2,0,81,3.7,0,1,60,68,1,0,0.1497712803687197,False
6.8,1,2,2,82,3.9,1,1,61,66,1,0,0.3732864499323155,False
8.1,1,3,1,71,4.1,1,1,85,77,0,1,0.6021829383547489,False
8.2,2,3,2,85,4.8,1,0,84,76,0,1,0.745894870885337,False
7.6,1,1,1,76,4.2,1,1,67,65,1,0,0.32945642736289005,False
7.6,1,0,0,84,4.8,1,1,60,69,1,0,0.4474359738034215,False
8.0,1,2,2,90,4.7,1,1,77,88,0,1,0.8842745834761556,False
8.1,1,1,0,68,4.4,0,0,58,86,1,0,0.08182041278919197,False
7.5,1,2,2,77,4.1,0,1,66,83,1,0,0.33813606082430236,False
8.1,2,1,2,80,4.2,1,0,75,80,1,0,0.3922945177121479,False
7.4,1,3,0,88,4.1,1,1,59,73,0,1,0.624741436338828,False
8.5,1,3,1,89,4.6,1,1,78,82,0,1,0.8969773481438713,False
7.6,1,1,1,84,3.3,1,1,75,60,1,0,0.3526913815480534,False
8.5,0,1,0,82,4.5,1,1,64,63,0,1,0.5187730173958698,False
8.0,0,2,2,87,4.7,1,0,72,83,0,1,0.6661259176172798,False
6.5,1,1,1,69,4.2,1,0,70,69,1,0,0.08551168002657057,False
8.4,2,2,0,90,4.1,1,1,76,78,0,1,0.7882502783715325,False
7.6,1,3,1,90,4.5,1,1,70,80,0,1,0.8258172107928698,False
7.3,1,3,1,81,4.2,1,1,69,65,0,1,0.5443475765982727,False
6.8,0,3,2,76,3.9,1,1,85,73,0,1,0.5401822183095735,False
7.3,0,1,2,75,4.5,1,1,73,79,1,0,0.4792276189920412,False
8.0,1,2,1,82,4.4,0,1,81,65,1,0,0.48368965635877936,False
7.6,1,3,0,81,4.2,0,1,83,69,1,0,0.4804934764682236,False
8.3,1,3,2,86,4.8,1,0,70,80,0,1,0.7195674063786789,False
8.6,2,1,2,69,3.8,1,1,74,81,1,0,0.3953259564784209,False
7.7,1,3,1,82,4.5,1,1,68,79,0,1,0.7163051981794782,False
8.5,1,3,2,74,4.1,0,1,76,68,1,0,0.42144427195170403,False
8.4,1,1,2,86,4.7,1,0,69,71,0,1,0.5203606167179161,False
7.9,0,3,0,87,3.9,1,1,78,82,0,1,0.7781629338713341,False
8.6,1,3,1,88,4.8,1,1,71,80,0,1,0.8831240232742333,False
7.8,1,2,0,79,4.4,1,1,71,81,0,1,0.603241345304072,False
8.0,2,3,2,89,4.8,1,1,79,80,0,1,0.8953542222912095,False
7.6,2,3,1,74,4.2,1,1,81,63,0,1,0.5060746635168324,False
8.0,1,2,1,80,3.4,1,1,76,82,0,1,0.5471749347015448,False
7.6,1,1,2,90,4.8,1,1,80,69,0,1,0.7772357386578025,False
6.5,0,1,1,89,4.2,0,0,55,76,1,0,0.13749732394904862,False
8.2,1,3,0,75,4.4,1,1,56,82,0,1,0.5505194426344425,False
8.4,2,1,0,90,4.6,1,1,72,82,0,1,0.7917937580685974,False
8.3,1,2,1,84,4.3,1,1,64,71,0,1,0.6423883080045871,False
8.3,1,2,1,80,4.7,1,1,74,81,0,1,0.7426642183717338,False
8.3,1,3,1,79,4.3,1,1,55,84,0,1,0.6448096486951139,False
7.1,1,3,1,74,4.3,0,1,72,81,1,0,0.3493695865464891,False
7.0,1,1,2,80,4.1,0,0,69,59,1,0,0.08728032518010184,False
8.1,1,3,0,90,4.5,0,1,59,83,0,1,0.6669037496903664,False
7.9,2,1,1,81,4.8,1,0,55,63,1,0,0.24741482394790434,False
7.7,1,2,1,79,4.6,1,1,68,70,0,1,0.562229955453234,False
7.8,1,3,0,87,4.1,1,1,66,63,0,1,0.6291285029809423,False
7.7,1,0,0,75,4.1,1,1,71,61,1,0,0.23256671200112264,False
8.4,0,3,1,86,4.0,1,1,85,67,0,1,0.7941297661439962,False
8.0,2,3,0,83,4.1,1,1,67,83,0,1,0.6938237821958263,False
7.4,2,3,2,89,4.8,1,0,88,82,0,1,0.7878175219352288,False
7.7,1,3,1,75,4.6,1,1,74,63,0,1,0.5571712249182326,False
6.6,1,3,2,90,4.6,1,1,73,65,0,1,0.7360141444540115,False
6.7,1,1,0,78,4.2,1,1,61,73,1,0,0.27381576318107326,False
7.2,2,1,1,89,4.0,1,1,77,83,0,1,0.6589769557557763,False
7.7,1,1,0,63,3.9,0,0,65,68,1,0,0.02842848599232043,False
7.4,1,2,1,76,4.4,1,1,79,70,0,1,0.5180776758177148,False
7.8,0,3,0,81,4.2,1,1,67,66,0,1,0.5674521296707323,False
8.2,1,3,2,82,4.3,1,1,69,81,0,1,0.7633827012592023,False
8.2,0,3,0,90,4.5,1,0,88,77,0,1,0.7742614833769069,False
7.4,1,2,1,72,3.3,1,1,81,69,1,0,0.2895046701588319,False
8.3,1,0,0,73,4.6,1,1,70,85,1,0,0.44770253070740507,False
8.0,1,3,0,83,4.8,0,1,75,83,0,1,0.6793590509377475,False
6.6,1,1,1,75,3.6,0,0,61,72,1,0,0.039988730131852876,False
8.2,1,1,2,82,4.6,1,0,75,69,1,0,0.4380423600538646,False
7.7,2,1,0,85,4.4,1,0,66,75,1,0,0.34120980202585754,False
6.5,1,2,0,68,4.4,0,1,72,70,1,0,0.12946784055658866,False
8.1,2,3,2,89,4.5,1,1,81,81,0,1,0.8882199665504728,False
8.2,0,3,0,76,4.7,1,1,77,66,0,1,0.6554925936674373,False
7.5,0,2,1,70,4.4,1,1,55,73,1,0,0.29542545853186625,False
6.5,1,3,0,80,4.3,1,1,82,68,0,1,0.5426924241563987,False
8.4,2,3,2,90,4.8,1,1,82,80,0,1,0.9211673595848381,False
8.0,0,2,1,78,4.2,1,1,77,82,0,1,0.6455838030364791,False
8.2,1,3,0,90,4.4,0,1,70,84,0,1,0.7282194124477986,False
7.6,1,1,1,83,4.3,1,1,68,66,1,0,0.4806259581005907,False
6.9,0,1,2,72,4.8,1,1,58,85,1,0,0.37334804368779867,False
6.7,2,0,0,75,4.0,1,1,55,69,1,0,0.13040682073653673,False
8.9,2,3,2,88,4.8,1,1,73,83,0,1,0.9126099134944283,False
7.5,1,2,1,85,4.8,0,1,61,84,0,1,0.5403576696990151,False
7.5,1,1,0,78,4.4,1,1,77,88,0,1,0.5665386196487847,False
7.6,0,3,2,82,4.5,0,0,78,64,1,0,0.3235955854858771,False
7.6,1,3,2,90,4.8,1,1,60,83,0,1,0.8398232500512423,False
6.7,1,3,0,87,4.4,1,1,69,67,0,1,0.6138764690126838,False
8.2,2,3,3,88,4.5,0,1,74,85,0,1,0.7867011435263941,False
8.0,1,2,2,80,4.7,1,0,72,80,0,1,0.519065897690908,False
8.1,1,3,2,88,4.2,1,1,75,88,0,1,0.8636132232923963,False
6.7,2,1,2,82,4.6,1,1,82,70,0,1,0.5572794831511354,False
7.5,1,2,0,80,4.1,1,1,55,82,1,0,0.44648769741934485,False
7.7,1,2,2,82,4.7,0,1,84,85,0,1,0.6650633882867893,False
7.7,0,1,0,70,3.7,0,0,71,70,1,0,0.05159607735620091,False
8.0,2,1,2,88,4.0,1,1,80,87,0,1,0.7648231141427532,False
8.0,1,3,0,79,4.8,1,1,77,74,0,1,0.7366953658893586,False
8.5,1,3,2,88,4.6,1,1,73,84,0,1,0.8915137193401914,False
8.3,2,3,2,68,3.9,1,0,77,84,1,0,0.33184419100378104,False
7.6,2,1,0,90,4.8,0,1,68,74,0,1,0.5233999045776861,False
8.0,0,2,1,74,4.1,1,1,57,87,1,0,0.4593493271841765,False
8.2,0,3,2,81,4.6,1,1,77,81,0,1,0.8207597670873998,False
7.6,1,2,0,70,3.7,1,1,63,71,1,0,0.22536822179206178,False
8.3,2,3,2,85,4.8,1,0,83,88,0,1,0.8007174283845572,False
7.6,1,2,2,79,4.2,1,1,59,67,1,0,0.4355012143085202,False
7.6,1,2,1,79,4.8,1,1,77,85,0,1,0.7214920285829879,False
7.8,1,3,3,84,3.9,1,1,64,72,0,1,0.6561158256612207,False
6.7,1,1,2,74,4.3,1,0,62,72,1,0,0.13070088810326724,False
7.5,0,3,0,88,4.4,1,1,67,86,0,1,0.7857182098687839,False
8.6,0,3,0,86,4.5,1,0,70,83,0,1,0.6835332740814097,False
8.4,1,3,0,82,4.1,0,1,74,86,0,1,0.607631397931362,False
7.2,1,1,1,77,4.7,1,1,62,69,1,0,0.37569564581229165,False
6.6,1,1,0,71,4.5,1,1,64,70,1,0,0.20795814730365783,False
8.6,1,2,0,77,4.7,0,1,55,68,1,0,0.3283551030664028,False
7.6,1,1,2,74,4.3,0,1,55,66,1,0,0.14992424444015703,False
7.3,1,1,0,71,4.4,0,0,55,74,1,0,0.05250783393967655,False
7.6,1,2,2,70,4.8,0,1,73,84,1,0,0.3791543708856778,False
7.4,1,1,1,79,4.0,1,0,55,70,1,0,0.14527155189029578,False
8.0,1,3,1,90,4.4,0,1,82,67,0,1,0.7100016050268156,False
8.0,2,3,2,86,4.8,1,0,80,68,0,1,0.6825322718572816,False
6.8,1,1,0,74,4.3,0,1,59,67,1,0,0.10739131352634805,False
7.7,1,2,0,83,4.6,1,1,71,82,0,1,0.6959247994405198,False
8.4,2,3,0,85,4.2,1,1,60,86,0,1,0.74622719394829,False
7.1,2,1,1,81,4.6,1,1,77,83,0,1,0.6011453174276148,False
7.8,0,2,0,86,4.1,1,1,85,84,0,1,0.7706027667083679,False
7.6,1,2,1,87,3.8,1,1,61,85,0,1,0.6184303948830312,False
7.7,1,3,2,85,4.5,1,1,76,81,0,1,0.8187164236179943,False
6.9,1,2,1,88,4.6,1,1,77,86,0,1,0.7751720837791299,False
8.4,0,1,3,83,4.3,1,1,71,74,0,1,0.6762938577793626,False
8.0,1,1,0,75,3.6,1,1,78,83,1,0,0.4096193049339761,False
8.1,1,1,0,76,4.2,0,1,75,83,1,0,0.3329350146353567,False
8.3,1,3,2,82,4.3,1,1,61,66,0,1,0.6510610246178213,False
8.4,1,3,0,75,4.6,1,1,81,84,0,1,0.7540007067234505,False
7.7,1,1,1,75,4.2,1,1,61,71,1,0,0.32014560809910225,False
8.5,2,3,2,86,4.7,1,0,76,80,0,1,0.7492832360613522,False
7.5,1,1,0,74,3.5,0,1,60,68,1,0,0.09117064088480016,False
6.5,1,2,1,79,3.1,0,1,63,69,1,0,0.11044144285923742,False
8.6,2,3,3,83,4.6,1,0,86,84,0,1,0.787707873608463,False
8.1,2,3,0,89,4.1,1,0,81,67,0,1,0.5951612307833531,False
7.3,1,3,1,78,4.5,1,1,79,78,0,1,0.6764087218669681,False
8.3,1,3,2,90,4.5,0,1,77,81,0,1,0.8013880226889986,False
8.4,2,3,2,90,4.8,1,1,77,77,0,1,0.9047426573997713,False
8.1,1,2,3,85,4.6,1,1,55,63,0,1,0.6294802953540786,False
7.9,1,2,0,89,4.8,0,1,77,66,0,1,0.6199879037749272,False
7.9,1,2,2,71,4.3,1,1,77,85,0,1,0.5641366938685165,False
8.5,2,2,2,85,4.5,1,1,68,86,0,1,0.8061024155961176,False
7.8,0,3,0,84,3.8,1,1,59,71,0,1,0.5379582448549098,False
8.1,1,2,1,85,4.7,0,1,55,80,0,1,0.519226404436958,False
7.9,1,3,2,82,4.4,1,1,70,86,0,1,0.7804011676352933,False
8.3,2,1,0,86,4.8,1,0,74,86,0,1,0.5977301065210575,False
7.4,1,2,0,79,4.2,0,1,79,71,1,0,0.34229127584444075,False
8.6,0,1,1,88,4.2,1,1,81,67,0,1,0.7339021569497401,False
8.4,1,0,0,75,4.7,1,1,76,76,1,0,0.4935852795220263,False
7.4,1,3,0,88,4.2,1,1,55,74,0,1,0.6208021645913746,False
7.5,0,1,0,82,4.6,1,1,62,69,1,0,0.46016650128077796,False
7.7,2,3,0,83,4.6,1,0,80,75,0,1,0.5686163210092203,False
6.6,1,2,0,81,4.8,1,1,70,85,0,1,0.603638021369737,False
7.6,1,1,0,88,4.2,1,1,55,57,1,0,0.3920928107406786,False
6.5,1,2,1,89,4.6,0,1,75,73,0,1,0.5069905935787182,False
8.0,2,3,2,79,4.8,0,0,74,79,1,0,0.40568347034774754,False
7.6,1,1,0,79,3.7,0,1,55,65,1,0,0.12243742924106225,False
7.7,1,3,3,87,3.9,1,1,80,65,0,1,0.7456409180155502,False
8.5,1,1,2,85,4.3,1,1,57,61,0,1,0.5272841305603742,False
7.6,1,2,0,90,4.8,1,1,55,81,0,1,0.7283265556350847,False
7.9,1,2,1,85,4.8,0,0,81,79,1,0,0.4596451526917582,False
8.3,1,1,1,75,3.9,1,1,55,73,1,0,0.30678213884975225,False
7.8,1,2,0,71,3.6,1,0,72,67,1,0,0.13093075578375254,False
7.7,1,1,0,75,4.0,0,1,61,71,1,0,0.15116039353056238,False
8.2,2,1,2,77,4.8,1,1,60,79,0,1,0.5564174719024944,False
6.5,1,2,0,85,4.7,0,1,55,59,1,0,0.23480998205829007,False
6.8,1,2,0,81,4.2,1,1,72,84,0,1,0.5361202650333592,False
7.8,0,1,2,68,4.5,0,0,82,85,1,0,0.16159507252167502,False
7.6,2,3,0,90,4.8,1,0,74,85,0,1,0.7259543003996671,False
8.2,1,1,0,81,4.3,1,1,60,70,1,0,0.45091903088243857,False
8.2,0,3,2,78,4.8,1,0,61,71,1,0,0.46731015379115576,False
8.7,2,3,1,90,4.8,1,1,72,83,0,1,0.9080541007105402,False
7.6,1,1,2,89,4.8,0,1,76,86,0,1,0.679047168762295,False
6.5,1,1,2,85,4.6,1,1,55,65,1,0,0.390738816781553,False
7.2,2,3,2,84,4.0,0,0,77,81,1,0,0.3295796774621688,False
8.3,1,1,0,86,4.2,0,1,55,71,1,0,0.33071510848834884,False
7.6,0,2,0,79,4.3,0,0,55,63,1,0,0.09903663463501827,False
7.6,1,3,1,86,4.6,1,1,67,62,0,1,0.6886551642697861,False
7.1,1,3,2,86,4.8,1,1,61,85,0,1,0.7754719426522503,False
8.4,2,3,2,90,4.8,1,1,71,87,0,1,0.91239344113559,False
7.7,1,1,2,85,3.6,0,0,58,72,1,0,0.12089981317840169,False
8.2,1,3,2,90,4.8,1,1,64,87,0,1,0.8909526252247002,False
8.5,1,1,0,75,4.5,1,1,84,68,0,1,0.5472213600114325,False
6.6,1,1,1,76,4.5,0,0,65,63,1,0,0.06599398817382052,False
8.1,1,3,1,80,4.0,1,1,75,85,0,1,0.7216962048189411,False
8.3,1,1,2,82,4.2,1,0,55,87,1,0,0.36774724299992795,False
7.5,1,1,3,74,4.6,1,1,80,65,1,0,0.47419097591230597,False
8.4,2,1,2,84,4.5,1,1,60,85,0,1,0.6862407791151296,False
8.4,1,3,0,84,4.1,1,1,80,75,0,1,0.7711417889779487,False
6.5,1,0,0,88,4.7,1,1,74,67,1,0,0.47624409387621747,False
7.5,1,3,2,78,4.7,1,1,79,81,0,1,0.7535241873319949,False
8.6,1,2,2,83,4.0,1,1,65,72,0,1,0.6430820123174115,False
8.2,2,2,2,90,4.8,0,1,83,79,0,1,0.7927264203748368,False
7.9,0,3,2,89,4.5,0,1,79,80,0,1,0.7706040728839729,False
7.2,1,3,2,80,4.6,0,0,79,84,1,0,0.3837520979498789,False
7.6,0,2,1,77,4.4,1,1,64,63,1,0,0.41954185695425916,False
8.3,1,2,2,71,4.5,1,1,56,67,1,0,0.38658310124139605,False
8.4,0,2,0,81,3.8,1,1,65,65,1,0,0.4709514648392887,False
7.7,2,3,2,89,4.5,0,1,74,85,0,1,0.7470460966351883,False
7.8,2,1,1,87,4.4,1,1,82,79,0,1,0.7379953214960266,False
8.1,0,2,2,86,4.6,1,1,57,79,0,1,0.7273189302083195,False
